policy,estimator,arm,estimate,std_error,ci_low,ci_high,valid,note,effective_sample_fraction,rep
fixed,difference_in_means,1,0.1429395301997705,0.0208113266076818,0.1021500795782138,0.1837289808213271,True,,1.0,0
fixed,ipw,1,0.158,0.0261902745808564,0.1066680050763065,0.2093319949236934,True,,1.0,0
fixed,aipw,1,0.1463002203097819,0.0201255105651784,0.1068549444315518,0.185745496188012,True,,1.0,0
fixed,aw_aipw,1,0.1463002203097819,0.0201255105651784,0.1068549444315518,0.185745496188012,True,,1.0,0
fixed,difference_in_means,2,0.1200635770763822,0.0210162112138613,0.0788725600057272,0.1612545941470372,True,,1.0,0
fixed,ipw,2,0.113,0.0253765392082046,0.0632628970996503,0.1627371029003496,True,,1.0,0
fixed,aipw,2,0.1151132025546639,0.0202221855189494,0.0754784472488355,0.1547479578604923,True,,1.0,0
fixed,aw_aipw,2,0.1151132025546639,0.0202221855189494,0.0754784472488355,0.1547479578604922,True,,1.0,0
fixed,difference_in_means,3,0.0928412716672014,0.020730273229491,0.0522106827477242,0.1334718605866787,True,,1.0,0
fixed,ipw,3,0.094,0.025018942561022,0.0449637736491205,0.1430362263508794,True,,1.0,0
fixed,aipw,3,0.0936066038389955,0.020301091041203,0.0538171965513687,0.1333960111266222,True,,1.0,0
fixed,aw_aipw,3,0.0936066038389955,0.020301091041203,0.0538171965513687,0.1333960111266222,True,,1.0,0
fixed,difference_in_means,1,0.159098228663446,0.0203973626721165,0.1191201324464959,0.1990763248803961,True,,1.0,1
fixed,ipw,1,0.161,0.025858981451914,0.1103173276773592,0.2116826723226407,True,,1.0,1
fixed,aipw,1,0.1665275781205793,0.0202579015565481,0.1268228206673871,0.2062323355737715,True,,1.0,1
fixed,aw_aipw,1,0.1665275781205793,0.0202579015565481,0.1268228206673871,0.2062323355737715,True,,1.0,1
fixed,difference_in_means,2,0.1116908212560386,0.0202767077396151,0.0719492043613483,0.1514324381507288,True,,1.0,1
fixed,ipw,2,0.103,0.0247891382533527,0.0544141818156444,0.1515858181843555,True,,1.0,1
fixed,aipw,2,0.1119475119011928,0.020173299302093,0.0724085718197434,0.1514864519826422,True,,1.0,1
fixed,aw_aipw,2,0.1119475119011927,0.020173299302093,0.0724085718197433,0.1514864519826422,True,,1.0,1
fixed,difference_in_means,3,0.0914139309471994,0.0204854121818508,0.0512632608623136,0.1315646010320852,True,,1.0,1
fixed,ipw,3,0.062,0.0239829688674885,0.014994244777377,0.1090057552226229,True,,1.0,1
fixed,aipw,3,0.1004326571015989,0.0198063995573716,0.0616128273057404,0.1392524868974575,True,,1.0,1
fixed,aw_aipw,3,0.1004326571015989,0.0198063995573716,0.0616128273057403,0.1392524868974574,True,,1.0,1
fixed,difference_in_means,1,0.1629563300730128,0.0202272522013636,0.1233116442521316,0.202601015893894,True,,1.0,2
fixed,ipw,1,0.147,0.0245712980359563,0.0988411407961257,0.1951588592038742,True,,1.0,2
fixed,aipw,1,0.1612321514836154,0.0193985187375063,0.1232117534046776,0.1992525495625533,True,,1.0,2
fixed,aw_aipw,1,0.1612321514836154,0.0193985187375063,0.1232117534046775,0.1992525495625532,True,,1.0,2
fixed,difference_in_means,2,0.1207070899514322,0.0198952029079326,0.0817132087867676,0.1597009711160968,True,,1.0,2
fixed,ipw,2,0.108,0.0238165028174082,0.0613205122401831,0.1546794877598168,True,,1.0,2
fixed,aipw,2,0.1134653379818633,0.0195042219337949,0.0752377654451489,0.1516929105185777,True,,1.0,2
fixed,aw_aipw,2,0.1134653379818633,0.0195042219337949,0.0752377654451489,0.1516929105185776,True,,1.0,2
fixed,difference_in_means,3,0.1547520845193696,0.0200822709292984,0.1153915567701689,0.1941126122685703,True,,1.0,2
fixed,ipw,3,0.145,0.0245335326350668,0.0969151596217309,0.193084840378269,True,,1.0,2
fixed,aipw,3,0.1602080848576572,0.0198107976836213,0.1213796348927498,0.1990365348225646,True,,1.0,2
fixed,aw_aipw,3,0.1602080848576571,0.0198107976836213,0.1213796348927498,0.1990365348225645,True,,1.0,2
fixed,difference_in_means,1,0.176286978071964,0.0205416971963719,0.1360259913857476,0.2165479647581805,True,,1.0,3
fixed,ipw,1,0.182,0.0256492391869177,0.1317284149627877,0.2322715850372122,True,,1.0,3
fixed,aipw,1,0.1774676707290695,0.0199537860974898,0.1383589686227733,0.2165763728353656,True,,1.0,3
fixed,aw_aipw,1,0.1774676707290694,0.0199537860974898,0.1383589686227733,0.2165763728353655,True,,1.0,3
fixed,difference_in_means,2,0.1321297618749321,0.0206842827022801,0.0915893127324182,0.172670211017446,True,,1.0,3
fixed,ipw,2,0.114,0.0243905663101788,0.0661953684695134,0.1618046315304866,True,,1.0,3
fixed,aipw,2,0.1222653924833672,0.0196747644934283,0.0837035626719403,0.1608272222947941,True,,1.0,3
fixed,aw_aipw,2,0.1222653924833671,0.0196747644934282,0.0837035626719402,0.160827222294794,True,,1.0,3
fixed,difference_in_means,3,0.1137399718863337,0.0201424221966491,0.0742615498195013,0.1532183939531662,True,,1.0,3
fixed,ipw,3,0.122,0.0245444414766735,0.0738937786850688,0.1701062213149311,True,,1.0,3
fixed,aipw,3,0.1100580480730436,0.0202414774940621,0.0703854811908038,0.1497306149552835,True,,1.0,3
fixed,aw_aipw,3,0.1100580480730436,0.0202414774940621,0.0703854811908038,0.1497306149552835,True,,1.0,3
fixed,difference_in_means,1,0.1905476971753088,0.020730238716371,0.1499171759003037,0.2311782184503139,True,,1.0,4
