floor,estimator,coverage,coverage_mcse,mean_ci_width,bias,rmse,mean_regret,mean_reward,control_share,reps
0.25,difference_in_means,0.9453333333333336,0.0079582242575422,0.0804899970732863,0.0001422770484084,0.0209775995172159,411.5364839809378,1379.9085464287666,0.250057,250
0.25,ipw,0.9613333333333332,0.0079582242575422,0.0977431438155665,1.182311394066618e-05,0.0246967174759382,411.5364839809378,1379.9085464287666,0.250057,250
0.25,aipw,0.9413333333333332,0.0079582242575422,0.0779069208578364,-0.0003541284249438,0.0201875977278278,411.5364839809378,1379.9085464287666,0.250057,250
0.25,aw_aipw,0.9413333333333332,0.0079582242575422,0.0779069208578363,-0.0003541284249439,0.0201875977278278,411.5364839809378,1379.9085464287666,0.250057,250
0.1,difference_in_means,0.9493333333333333,0.0079582242575422,0.1043609253227585,-0.0033773664000362,0.0267327266447338,303.0802666010728,1488.3647638086316,0.1045939999999999,250
0.1,ipw,0.9453333333333332,0.0079582242575422,0.1277698961315677,-0.0003531429147032,0.0336630044860805,303.0802666010728,1488.3647638086316,0.1045939999999999,250
0.1,aipw,0.9453333333333332,0.0079582242575422,0.1044518005993109,-0.0006689507752515,0.0270794835101559,303.0802666010728,1488.3647638086316,0.1045939999999999,250
0.1,aw_aipw,0.944,0.0079582242575422,0.1037875790870696,-0.0011212854649014,0.0268250536305826,303.0802666010728,1488.3647638086316,0.1045939999999999,250
0.05,difference_in_means,0.9506666666666668,0.0079582242575422,0.1316627926681968,-0.008136503479258,0.035121670534245,267.36860740946537,1524.0764230002392,0.058832,250
0.05,ipw,0.9466666666666668,0.0079582242575422,0.1666531532746141,-0.0029217337905411,0.0431141868489182,267.36860740946537,1524.0764230002392,0.058832,250
0.05,aipw,0.9426666666666668,0.0079582242575422,0.1379280696440281,-0.0038764215491763,0.0360790954989917,267.36860740946537,1524.0764230002392,0.058832,250
0.05,aw_aipw,0.9413333333333332,0.0079582242575422,0.1353083506996017,-0.0044250637427712,0.035423285452282,267.36860740946537,1524.0764230002392,0.058832,250
0.02,difference_in_means,0.924,0.007958224257542215,0.16819905300361956,-0.00015759036674589896,0.04683531761870167,246.558871839553,1544.8861585701516,0.032886,250
0.02,ipw,0.9213333333333334,0.007958224257542215,0.23009420661156454,0.00555143039923835,0.06188862208417367,246.558871839553,1544.8861585701516,0.032886,250
0.02,aipw,0.9346666666666668,0.007958224257542215,0.19420580303704646,0.0024350168992301226,0.05136107867498787,246.558871839553,1544.8861585701516,0.032886,250
0.02,aw_aipw,0.9346666666666668,0.007958224257542215,0.1835398444027001,0.0025667022172356628,0.0489600642938,246.558871839553,1544.8861585701516,0.032886,250
0.005,difference_in_means,0.9413333333333332,0.007958224257542215,0.2069379911360283,0.008152350797447425,0.05704667924524426,238.43336952943878,1553.0116608802657,0.020973,250
0.005,ipw,0.912,0.007958224257542215,0.36528463171217546,0.007146821840058569,0.08887354496319883,238.43336952943878,1553.0116608802657,0.020973,250
0.005,aipw,0.9386666666666666,0.007958224257542215,0.3177635916003361,0.005893751911246896,0.07811098455437042,238.43336952943878,1553.0116608802657,0.020973,250
0.005,aw_aipw,0.9426666666666667,0.007958224257542215,0.2633813219257071,0.008096721473585101,0.06694422446244679,238.43336952943878,1553.0116608802657,0.020973,250
0.001,difference_in_means,0.9066666666666667,0.007958224257542215,0.22620909050670013,0.01341368355491325,0.07599665951818342,235.4308221818233,1556.0142082278812,0.017562,250
0.001,ipw,0.7506666666666666,0.007958224257542215,0.5481287135023002,0.0032628382504588985,0.1660588037872902,235.4308221818233,1556.0142082278812,0.017562,250
0.001,aipw,0.8786666666666667,0.007958224257542215,0.5174772598007809,0.00010503584048061956,0.1493212899563516,235.4308221818233,1556.0142082278812,0.017562,250
0.001,aw_aipw,0.8946666666666667,0.007958224257542215,0.3366450902322518,0.007697250816429898,0.09379161075510961,235.4308221818233,1556.0142082278812,0.017562,250
