policy,mean_reward,mean_expected_reward,mean_regret,sd_regret,n_reps,share_arm0,share_arm1,share_arm2,share_arm3
epsilon_greedy,1543.2133333333334,1539.6315641078031,250.12150782459003,53.12871631698913,300,0.028529999999999996,0.6197208333333333,0.22092916666666668,0.13082000000000002
fixed,1381.56,1378.6267975642386,411.1262743681544,6.114007626625947,300,0.25033583333333337,0.2500325,0.2500983333333333,0.24953333333333333
thompson,1541.4566666666667,1538.60731621776,251.14575571463322,27.668724144122464,300,0.033029166666666665,0.6309033333333334,0.19878583333333333,0.13728166666666666
ucb1,1530.67,1528.4058608741318,261.34721105826134,18.43483108806627,300,0.035944166666666666,0.5720758333333333,0.22712333333333334,0.16485666666666668
