policy,estimator,arm,truth,mean_estimate,bias,rmse,coverage,mean_ci_width,valid_fraction,n_reps,nominal_coverage,coverage_gap,coverage_mcse
epsilon_greedy,aipw,1,0.15431256324162984,0.1576767254622448,0.003364162220614945,0.04581604206251925,0.9566666666666667,0.20595456614860366,1.0,300,0.95,0.00666666666666671,0.011755219486899646
epsilon_greedy,aipw,2,0.12451108121406512,0.12358906903669012,-0.0009220121773750186,0.060449688630941995,0.96,0.2429946799351302,1.0,300,0.95,0.010000000000000009,0.011313708498984765
epsilon_greedy,aipw,3,0.11004488620248304,0.11534182918089378,0.005296942978410736,0.0572846791707077,0.9666666666666667,0.25231732315714445,1.0,300,0.95,0.01666666666666672,0.010363754503432016
epsilon_greedy,aw_aipw,1,0.15431256324162984,0.15600432792114488,0.001691764679515033,0.04510706376471418,0.96,0.2026612050711732,1.0,300,0.95,0.010000000000000009,0.011313708498984765
epsilon_greedy,aw_aipw,2,0.12451108121406512,0.12400228073082355,-0.0005088004832415735,0.05892626573944242,0.96,0.2383021793122992,1.0,300,0.95,0.010000000000000009,0.011313708498984765
epsilon_greedy,aw_aipw,3,0.11004488620248304,0.11521639672894009,0.005171510526457043,0.05616546342312253,0.9733333333333334,0.24743267783930334,1.0,300,0.95,0.023333333333333428,0.009301533127313926
epsilon_greedy,difference_in_means,1,0.15431256324162984,0.14734124787556094,-0.006971315366068902,0.04626276053262688,0.9566666666666667,0.180836898424239,1.0,300,0.95,0.00666666666666671,0.011755219486899646
epsilon_greedy,difference_in_means,2,0.12451108121406512,0.11299318506480362,-0.011517896149261518,0.05033449712553513,0.9566666666666667,0.20920814158496354,1.0,300,0.95,0.00666666666666671,0.011755219486899646
epsilon_greedy,difference_in_means,3,0.11004488620248304,0.10341619541373906,-0.006628690788743988,0.04949433578721962,0.9766666666666667,0.21729140495666216,1.0,300,0.95,0.026666666666666727,0.008715673408461501
epsilon_greedy,ipw,1,0.15431256324162984,0.154703428130951,0.00039086488932116396,0.060323683417793705,0.9433333333333334,0.24642655589989929,1.0,300,0.95,-0.006666666666666599,0.013348602368232605
epsilon_greedy,ipw,2,0.12451108121406512,0.11975496418248881,-0.004756117031576314,0.07608897608743916,0.9533333333333334,0.2923908303374622,1.0,300,0.95,0.0033333333333334103,0.012177696674506891
epsilon_greedy,ipw,3,0.11004488620248304,0.11412716880119783,0.0040822825987147935,0.07442700016058719,0.9566666666666667,0.3036067755915983,1.0,300,0.95,0.00666666666666671,0.011755219486899646
fixed,aipw,1,0.15431256324162984,0.15520154902513406,0.0008889857835042072,0.02002648027484768,0.9433333333333334,0.07743885721004516,1.0,300,0.95,-0.006666666666666599,0.013348602368232605
fixed,aipw,2,0.12451108121406512,0.12645515746070743,0.0019440762466423137,0.020545343240391072,0.95,0.07821262670795333,1.0,300,0.95,0.0,0.012583057392117921
fixed,aipw,3,0.11004488620248304,0.11051145923285223,0.00046657303036919356,0.020209730920430623,0.9366666666666666,0.07809318910194625,1.0,300,0.95,-0.013333333333333308,0.014062031885212777
fixed,aw_aipw,1,0.15431256324162984,0.15520154902513403,0.0008889857835041689,0.020026480274847668,0.9433333333333334,0.07743885721004515,1.0,300,0.95,-0.006666666666666599,0.013348602368232605
fixed,aw_aipw,2,0.12451108121406512,0.1264551574607074,0.0019440762466422764,0.020545343240391065,0.95,0.07821262670795331,1.0,300,0.95,0.0,0.012583057392117921
fixed,aw_aipw,3,0.11004488620248304,0.11051145923285219,0.00046657303036915974,0.020209730920430616,0.9366666666666666,0.07809318910194624,1.0,300,0.95,-0.013333333333333308,0.014062031885212777
fixed,difference_in_means,1,0.15431256324162984,0.15494969894414845,0.0006371357025186281,0.020993860342426146,0.9366666666666666,0.08096128471320461,1.0,300,0.95,-0.013333333333333308,0.014062031885212777
fixed,difference_in_means,2,0.12451108121406512,0.12663306053249707,0.0021219793184319657,0.02057577038106791,0.95,0.0803498280292792,1.0,300,0.95,0.0,0.012583057392117921
fixed,difference_in_means,3,0.11004488620248304,0.11076536267310302,0.0007204764706199847,0.020631415246542988,0.9466666666666667,0.07999322957542632,1.0,300,0.95,-0.0033333333333332993,0.012972906239401267
fixed,ipw,1,0.15431256324162984,0.15467,0.00035743675837015935,0.026644865566113,0.9533333333333334,0.0994613057009956,1.0,300,0.95,0.0033333333333334103,0.012177696674506891
fixed,ipw,2,0.12451108121406512,0.12642666666666666,0.0019155854526015448,0.024172865431755796,0.96,0.09741177910994621,1.0,300,0.95,0.010000000000000009,0.011313708498984765
fixed,ipw,3,0.11004488620248304,0.10976999999999999,-0.00027488620248303783,0.025200648055641657,0.9166666666666666,0.09616907628205519,1.0,300,0.95,-0.033333333333333326,0.01595711846260564
thompson,aipw,1,0.15431256324162984,0.15796775513044273,0.003655191888812878,0.045598077140292945,0.9233333333333333,0.17568049533497676,1.0,300,0.95,-0.026666666666666616,0.015361085995559135
thompson,aipw,2,0.12451108121406512,0.12794782549795575,0.0034367442838906196,0.05147471330907995,0.9366666666666666,0.19897914420481272,1.0,300,0.95,-0.013333333333333308,0.014062031885212777
thompson,aipw,3,0.11004488620248304,0.11719236863299784,0.007147482430514796,0.05515038285713888,0.91,0.20825463898951338,1.0,300,0.95,-0.039999999999999925,0.016522711641858305
thompson,aw_aipw,1,0.15431256324162984,0.15904303784025975,0.004730474598629905,0.04177607573203736,0.9366666666666666,0.16765162006572082,1.0,300,0.95,-0.013333333333333308,0.014062031885212777
thompson,aw_aipw,2,0.12451108121406512,0.12767828316658306,0.0031672019525179366,0.04798597425515615,0.9366666666666666,0.18818063828278017,1.0,300,0.95,-0.013333333333333308,0.014062031885212777
thompson,aw_aipw,3,0.11004488620248304,0.11633363601689974,0.006288749814416702,0.05177281754822795,0.9233333333333333,0.19602469072796866,1.0,300,0.95,-0.026666666666666616,0.015361085995559135
thompson,difference_in_means,1,0.15431256324162984,0.1591830025095396,0.004870439267909762,0.03861139416043274,0.94,0.1538887638705037,1.0,300,0.95,-0.010000000000000009,0.013711309200802093
thompson,difference_in_means,2,0.12451108121406512,0.12156672938432836,-0.002944351829736765,0.04398980870031734,0.95,0.1704573273243354,1.0,300,0.95,0.0,0.012583057392117921
thompson,difference_in_means,3,0.11004488620248304,0.1086303106728829,-0.0014145755296001497,0.04509772420060298,0.95,0.17660854111327728,1.0,300,0.95,0.0,0.012583057392117921
thompson,ipw,1,0.15431256324162984,0.15938299494945102,0.005070431707821184,0.05238696423269882,0.9233333333333333,0.20440134734668755,1.0,300,0.95,-0.026666666666666616,0.015361085995559135
thompson,ipw,2,0.12451108121406512,0.1299245758437973,0.005413494629732187,0.06091031314647944,0.9466666666666667,0.23615625210464344,1.0,300,0.95,-0.0033333333333332993,0.012972906239401267
thompson,ipw,3,0.11004488620248304,0.11806453755807,0.008019651355586977,0.06465432522515326,0.94,0.24750697008859182,1.0,300,0.95,-0.010000000000000009,0.013711309200802093
ucb1,aipw,1,0.15431256324162984,,,,,,0.0,300,0.95,,
ucb1,aipw,2,0.12451108121406512,,,,,,0.0,300,0.95,,
ucb1,aipw,3,0.11004488620248304,,,,,,0.0,300,0.95,,
ucb1,aw_aipw,1,0.15431256324162984,,,,,,0.0,300,0.95,,
ucb1,aw_aipw,2,0.12451108121406512,,,,,,0.0,300,0.95,,
ucb1,aw_aipw,3,0.11004488620248304,,,,,,0.0,300,0.95,,
