policy,rep,cumulative_reward,expected_cumulative_reward,oracle_regret,share_arm0,share_arm1,share_arm2,share_arm3
fixed,67,1421.0,1374.1925270899014,412.1952254151164,0.2555,0.24575,0.24375,0.255
fixed,68,1337.0,1384.797261192603,415.9230213097911,0.25225,0.25475,0.247,0.246
fixed,69,1430.0,1378.9359329494143,408.7560952853578,0.24275,0.24025,0.25825,0.25875
fixed,70,1376.0,1373.808873947342,414.3286833830912,0.2505,0.235,0.256,0.2585
fixed,71,1407.0,1384.9985123257147,409.4854712112918,0.24675,0.25375,0.24575,0.25375
fixed,72,1338.0,1373.5673652969997,424.7528334748504,0.25,0.237,0.25775,0.25525
fixed,73,1370.0,1375.9738691450864,409.372536146273,0.246,0.2555,0.24975,0.24875
fixed,74,1410.0,1366.7869036856105,398.472519264718,0.2455,0.25625,0.25825,0.24
fixed,75,1348.0,1397.4358292260729,404.0275890683432,0.2405,0.2665,0.25175,0.24125
fixed,76,1340.0,1372.0985392460198,415.121705578929,0.25125,0.25325,0.25175,0.24375
fixed,77,1421.0,1386.6390356576867,408.5217573742589,0.255,0.257,0.25825,0.22975
fixed,78,1368.0,1388.7589137946884,414.5814186724651,0.2445,0.24875,0.2435,0.26325
fixed,79,1401.0,1380.3297690444156,417.79663370917336,0.2515,0.247,0.242,0.2595
fixed,80,1373.0,1369.7061198168406,417.2839425715244,0.25775,0.2475,0.244,0.25075
fixed,81,1375.0,1378.1210135924632,408.1276138750505,0.2465,0.2585,0.24725,0.24775
fixed,82,1367.0,1369.880308640234,408.0780860912023,0.244,0.25025,0.25675,0.249
fixed,83,1353.0,1359.7467719053263,412.1933783785985,0.25625,0.24725,0.2565,0.24
fixed,84,1450.0,1375.9661136232878,406.6847131693746,0.24475,0.256,0.25325,0.246
fixed,85,1461.0,1389.4697372443595,411.31713000362527,0.25225,0.2525,0.2585,0.23675
fixed,86,1403.0,1377.9081517021873,409.5317279319896,0.25625,0.24425,0.25775,0.24175
fixed,87,1339.0,1365.1540658062836,412.1204369037694,0.25925,0.258,0.23725,0.2455
fixed,88,1382.0,1357.857884642242,407.9712739672837,0.2475,0.25425,0.25275,0.2455
fixed,89,1388.0,1393.4161994385213,396.53509493528935,0.2335,0.2625,0.26475,0.23925
fixed,90,1353.0,1378.5205766998783,419.39990251601046,0.24575,0.24825,0.25125,0.25475
fixed,91,1362.0,1368.7201778138428,414.1846334754042,0.25525,0.256,0.24975,0.239
fixed,92,1376.0,1369.8308172036598,413.15468255409314,0.24875,0.25175,0.25175,0.24775
fixed,93,1348.0,1369.388445192214,412.1264344042102,0.25125,0.25775,0.246,0.245
fixed,94,1421.0,1373.083727546339,412.0084904022287,0.24775,0.24175,0.2555,0.255
fixed,95,1357.0,1377.7599823080334,402.458752427693,0.244,0.25225,0.24675,0.257
fixed,96,1290.0,1381.3710118321692,408.8906164632958,0.23975,0.2505,0.2505,0.25925
fixed,97,1362.0,1383.3151712573276,410.93717172925386,0.25425,0.24875,0.25475,0.24225
fixed,98,1423.0,1389.385180065062,399.37866052921066,0.251,0.26675,0.2415,0.24075
fixed,99,1371.0,1390.0426909064006,411.9521504355093,0.2495,0.25625,0.247,0.24725
fixed,100,1404.0,1388.0448854337392,413.677762740096,0.25175,0.239,0.25625,0.253
fixed,101,1388.0,1370.6711795624435,411.2353812026991,0.245,0.23875,0.25975,0.2565
fixed,102,1387.0,1379.0243836735003,417.1281730378199,0.25775,0.25225,0.2385,0.2515
fixed,103,1373.0,1375.0034098723668,407.2115434946712,0.23925,0.25875,0.25425,0.24775
fixed,104,1375.0,1387.980451700792,408.9296432606961,0.2445,0.249,0.251,0.2555
fixed,105,1411.0,1377.882362323877,412.3438883627034,0.256,0.242,0.262,0.24
fixed,106,1397.0,1380.190547057586,416.5870748539845,0.2495,0.26175,0.24125,0.2475
fixed,107,1366.0,1372.2428242751205,416.2894084486115,0.259,0.24575,0.2515,0.24375
fixed,108,1398.0,1364.0298699849964,409.49888476488,0.25025,0.24575,0.2565,0.2475
fixed,109,1418.0,1374.1623570237812,421.7007863550505,0.271,0.234,0.252,0.243
fixed,110,1391.0,1382.3720043632886,406.2448930052949,0.24575,0.25025,0.2565,0.2475
fixed,111,1370.0,1384.2445710558843,411.2115273237565,0.2425,0.2505,0.25725,0.24975
fixed,112,1349.0,1376.5631392184134,406.0795549346445,0.24525,0.25675,0.2405,0.2575
fixed,113,1403.0,1368.8643371881797,411.6895240039525,0.2535,0.25375,0.238,0.25475
fixed,114,1395.0,1360.1978572185033,416.6435001961659,0.25375,0.24225,0.255,0.249
fixed,115,1395.0,1367.7812282096206,408.8372430108492,0.2525,0.251,0.26175,0.23475
fixed,116,1346.0,1377.7318985124302,414.5214792122672,0.25625,0.243,0.24575,0.255
fixed,117,1361.0,1377.3600748149292,421.4201301842333,0.2605,0.24325,0.24625,0.25
fixed,118,1381.0,1375.7888666958013,409.6136927672245,0.26475,0.2425,0.2525,0.24025
fixed,119,1316.0,1393.3263302107157,406.0048532513407,0.247,0.25975,0.24025,0.253
fixed,120,1407.0,1388.157545899972,407.6053512073248,0.2445,0.252,0.25275,0.25075
fixed,121,1412.0,1377.9557835868925,424.5675560699712,0.2585,0.24725,0.26,0.23425
fixed,122,1447.0,1385.3564061157813,410.0756450338246,0.25325,0.24525,0.252,0.2495
fixed,123,1416.0,1375.1107840889654,420.8378258631582,0.25225,0.243,0.2485,0.25625
fixed,124,1399.0,1378.8326387659122,402.6533938171706,0.24775,0.25,0.2615,0.24075
fixed,125,1366.0,1384.3741074257778,416.0838124241834,0.25275,0.25175,0.24725,0.24825
fixed,126,1397.0,1373.4535528258896,410.5229064754182,0.24675,0.24675,0.25275,0.25375
fixed,127,1346.0,1375.6426053308255,408.3624221535333,0.24925,0.24775,0.24675,0.25625
fixed,128,1341.0,1374.482295050338,415.3238568732916,0.25225,0.24875,0.251,0.248
fixed,129,1391.0,1370.967393044299,399.8552300104807,0.23575,0.2495,0.25925,0.2555
fixed,130,1360.0,1387.686301933824,406.856812416402,0.23325,0.25875,0.266,0.242
fixed,131,1355.0,1377.199507354036,416.03768829623175,0.2545,0.25075,0.24625,0.2485
fixed,132,1401.0,1376.3607967615883,413.5669479843221,0.24575,0.25175,0.256,0.2465
fixed,133,1416.0,1367.3709352949336,414.4620456855101,0.25175,0.2505,0.2525,0.24525
fixed,134,1378.0,1367.6179912758985,420.74548669709486,0.254,0.23425,0.2585,0.25325
fixed,135,1363.0,1379.046022431614,395.6045550624437,0.23975,0.26625,0.24725,0.24675
fixed,136,1381.0,1389.2481932761234,415.70814505346186,0.2475,0.24475,0.25375,0.254
fixed,137,1334.0,1374.4369835043758,409.3456081388157,0.25575,0.24775,0.2465,0.25
fixed,138,1372.0,1369.613256877136,418.4909962439984,0.248,0.24325,0.256,0.25275
fixed,139,1410.0,1377.1822019347069,410.345566784542,0.2595,0.246,0.24725,0.24725
fixed,140,1432.0,1384.7553161203095,405.403801846853,0.25275,0.24825,0.24025,0.25875
fixed,141,1364.0,1380.9787861385992,413.1123561203655,0.24875,0.24725,0.2455,0.2585
fixed,142,1393.0,1375.9858742151987,404.3325286625957,0.25325,0.255,0.2385,0.25325
fixed,143,1374.0,1375.848804800121,410.4503796135514,0.25725,0.25425,0.24625,0.24225
fixed,144,1356.0,1386.1874705970918,408.22799817834414,0.25,0.251,0.2425,0.2565
fixed,145,1393.0,1388.5653941438322,413.32268810388285,0.24575,0.2395,0.24475,0.27
fixed,146,1349.0,1377.7658966264894,417.5082660120006,0.2545,0.25275,0.24575,0.247
fixed,147,1402.0,1377.1885387955767,410.9792791588172,0.25175,0.263,0.2425,0.24275
