policy,segment,arm,estimate,ci_low,ci_high,valid,rep
thompson,0,1,0.07713444832612837,-0.07028372417971815,0.2245526208319749,True,0
thompson,0,2,0.10833521948806459,-0.06099121053461949,0.2776616495107487,True,0
thompson,0,3,0.2171117088178119,0.06585349200366034,0.36836992563196347,True,0
thompson,1,1,0.19811411238805135,0.048999148046577706,0.34722907672952497,True,0
thompson,1,2,0.0984293437418771,-0.08433757143065627,0.28119625891441047,True,0
thompson,1,3,0.1429556330022301,-0.01622546166320077,0.302136727667661,True,0
thompson,2,1,0.29588671952076984,0.05496496142038318,0.5368084776211565,True,0
thompson,2,2,0.03967057823784429,-0.21191050765782135,0.29125166413350995,True,0
thompson,2,3,0.032997443026060246,-0.21364002049957603,0.27963490655169654,True,0
thompson,0,1,0.15049431488924989,0.046823486029631475,0.2541651437488683,True,1
thompson,0,2,0.22247668400489876,0.11315319261295603,0.3318001753968415,True,1
thompson,0,3,0.2862618613957282,0.14566741422122537,0.426856308570231,True,1
thompson,1,1,0.2847310961505284,0.16390574442463893,0.40555644787641787,True,1
thompson,1,2,0.2635388692418846,0.12909411911924848,0.39798361936452065,True,1
thompson,1,3,0.17115615203244278,0.019672935653567813,0.32263936841131774,True,1
thompson,2,1,0.11818801702879059,-0.16757656730766582,0.403952601365247,True,1
thompson,2,2,-0.0866235960807637,-0.3853184501281266,0.2120712579665992,True,1
thompson,2,3,-0.12148885783473086,-0.440564890784131,0.19758717511466933,True,1
thompson,0,1,0.029845722870010537,-0.07199825640099942,0.1316897021410205,True,2
thompson,0,2,0.15245124978831634,0.050301137823725764,0.25460136175290693,True,2
thompson,0,3,0.18273807910508827,0.06427481209948321,0.3012013461106933,True,2
thompson,1,1,0.24490298592946,0.1111000371517755,0.37870593470714453,True,2
thompson,1,2,0.18527831050315846,0.06604037862990313,0.3045162423764138,True,2
thompson,1,3,0.1731365015450859,0.027174809195554955,0.3190981938946168,True,2
thompson,2,1,0.24700869917779858,0.023274034591162812,0.4707433637644344,True,2
thompson,2,2,0.034598454425823356,-0.16143713337538326,0.23063404222702996,True,2
thompson,2,3,-0.0854403071215553,-0.3101790107149711,0.13929839647186054,True,2
thompson,0,1,0.14312729202830093,0.01747928494350312,0.2687752991130987,True,3
thompson,0,2,0.19611426200427248,0.05833809745310195,0.333890426555443,True,3
thompson,0,3,0.22097819226817858,0.06886049903657293,0.37309588549978423,True,3
thompson,1,1,0.2640408742473319,0.09868455011271893,0.4293971983819449,True,3
thompson,1,2,0.1938423716245153,0.023592892355629502,0.36409185089340107,True,3
thompson,1,3,0.09079019641309037,-0.09870455666104451,0.28028494948722527,True,3
thompson,2,1,0.26095347411909636,0.05949585973145102,0.46241108850674173,True,3
thompson,2,2,-0.0023859420196020676,-0.2228404888754379,0.21806860483623375,True,3
thompson,2,3,0.0751126247153951,-0.15094093778782958,0.30116618721861976,True,3
thompson,0,1,0.013544488316605345,-0.08988777196165211,0.1169767485948628,True,4
thompson,0,2,0.13567975292799328,0.02165793017965574,0.24970157567633083,True,4
thompson,0,3,0.09311506204160079,-0.03043599900021217,0.21666612308341376,True,4
thompson,1,1,0.13760454433089603,-0.0218906662143378,0.29709975487612983,True,4
thompson,1,2,0.14164302605792609,-0.023179246023936284,0.30646529813978846,True,4
thompson,1,3,0.028566254566914636,-0.14999099292046458,0.20712350205429386,True,4
thompson,2,1,0.5084455945188242,0.36776213487996023,0.6491290541576882,True,4
thompson,2,2,0.3120363100408224,0.15368980451606035,0.4703828155655844,True,4
thompson,2,3,0.15997744371081532,-0.0042041341961043255,0.32415902161773497,True,4
thompson,0,1,0.11733348759145093,-0.0069460603260273895,0.24161303550892926,True,5
